SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 01-Oct-2018, 42.45, 43.20, 43.60, 40.05, 42.00, 41.85, 41.77, 60938, 25.45, 719, 38972, 63.95
21STCENMGM, EQ, 01-Oct-2018, 28.85, 28.85, 28.85, 28.30, 28.30, 28.30, 28.34, 1393, 0.39, 13, 1393, 100.00
3IINFOTECH, EQ, 01-Oct-2018, 3.40, 3.40, 3.40, 3.25, 3.40, 3.35, 3.34, 2969010, 99.28, 913, 1059680, 35.69
3MINDIA, EQ, 01-Oct-2018, 22568.05, 22500.00, 23300.00, 21555.60, 23200.00, 23088.15, 22748.96, 3079, 700.44, 1690, 1612, 52.35
5PAISA, EQ, 01-Oct-2018, 226.20, 239.50, 239.50, 203.60, 211.50, 210.80, 217.54, 28915, 62.90, 520, 15739, 54.43
63MOONS, EQ, 01-Oct-2018, 69.55, 72.50, 72.50, 66.15, 66.55, 66.75, 67.41, 119702, 80.69, 1966, 61635, 51.49
8KMILES, BE, 01-Oct-2018, 191.35, 181.80, 181.80, 181.80, 181.80, 181.80, 181.80, 33779, 61.41, 339, -, -
A2ZINFRA, EQ, 01-Oct-2018, 12.55, 12.05, 12.30, 10.05, 10.05, 10.05, 10.19, 2514457, 256.14, 2670, 1503687, 59.80
AARTIDRUGS, EQ, 01-Oct-2018, 549.25, 560.00, 578.00, 549.70, 550.25, 554.60, 560.89, 36460, 204.50, 2509, 22091, 60.59
AARTIIND, EQ, 01-Oct-2018, 1162.20, 1155.20, 1161.00, 1104.85, 1160.00, 1138.85, 1133.57, 31467, 356.70, 2928, 21281, 67.63
AARVEEDEN, EQ, 01-Oct-2018, 24.95, 24.50, 24.60, 22.85, 24.25, 23.60, 23.35, 50409, 11.77, 220, 35776, 70.97
AARVI, SM, 01-Oct-2018, 54.00, 53.00, 53.00, 53.00, 53.00, 53.00, 53.00, 2000, 1.06, 1, 2000, 100.00
ABAN, EQ, 01-Oct-2018, 82.30, 82.70, 82.85, 78.40, 79.80, 80.15, 80.21, 526487, 422.31, 5444, 140992, 26.78
ABB, EQ, 01-Oct-2018, 1409.80, 1393.50, 1449.95, 1370.30, 1439.00, 1422.90, 1401.23, 59120, 828.41, 6350, 23763, 40.19
ABBOTINDIA, EQ, 01-Oct-2018, 7773.55, 7780.10, 7879.90, 7600.05, 7630.00, 7640.85, 7673.24, 9645, 740.08, 1953, 6892, 71.46
ABCAPITAL, EQ, 01-Oct-2018, 114.65, 114.95, 115.00, 106.00, 110.20, 110.75, 109.48, 3190536, 3492.93, 28800, 1489103, 46.67
ABFRL, EQ, 01-Oct-2018, 183.50, 180.10, 190.00, 173.00, 186.00, 184.80, 180.96, 723286, 1308.86, 9841, 358677, 49.59
ABGSHIP, BZ, 01-Oct-2018, 3.95, 3.80, 4.10, 3.80, 3.85, 4.05, 3.83, 55026, 2.11, 79, -, -
ABMINTLTD, BE, 01-Oct-2018, 18.05, 18.05, 18.05, 18.05, 18.05, 18.05, 18.05, 23, 0.00, 2, -, -
ACC, EQ, 01-Oct-2018, 1552.35, 1556.00, 1588.20, 1522.90, 1570.00, 1573.60, 1559.64, 854187, 13322.21, 24356, 361851, 42.36
ACCELYA, EQ, 01-Oct-2018, 1008.65, 1010.00, 1042.00, 987.65, 1040.00, 1035.45, 1021.74, 21025, 214.82, 913, 9761, 46.43
ACCURACY, SM, 01-Oct-2018, 80.00, 78.00, 78.00, 78.00, 78.00, 78.00, 78.00, 3200, 2.50, 2, 3200, 100.00
ACE, EQ, 01-Oct-2018, 99.45, 99.00, 99.00, 94.50, 95.95, 95.20, 95.00, 215887, 205.10, 971, 148243, 68.67
ADANIENT, EQ, 01-Oct-2018, 130.60, 127.00, 138.60, 121.55, 137.80, 137.35, 130.72, 9826192, 12845.08, 51936, 822956, 8.38
ADANIGREEN, EQ, 01-Oct-2018, 40.85, 38.85, 40.75, 38.85, 38.85, 39.20, 39.10, 715774, 279.88, 1631, 510760, 71.36
ADANIPORTS, EQ, 01-Oct-2018, 328.90, 328.00, 334.40, 320.00, 333.00, 330.35, 325.62, 4159563, 13544.16, 54539, 1659919, 39.91
ADANIPOWER, EQ, 01-Oct-2018, 23.80, 23.50, 26.80, 22.10, 26.20, 26.05, 24.04, 30035603, 7221.29, 31034, 3381069, 11.26
ADANITRANS, EQ, 01-Oct-2018, 160.40, 159.00, 162.50, 152.40, 162.00, 158.30, 154.46, 169207, 261.37, 2316, 90140, 53.27
ADFFOODS, EQ, 01-Oct-2018, 216.70, 214.00, 225.85, 207.15, 219.50, 220.65, 216.56, 39882, 86.37, 1315, 22774, 57.10
ADHUNIK, BE, 01-Oct-2018, 2.85, 2.90, 2.90, 2.75, 2.75, 2.75, 2.84, 25521, 0.72, 31, -, -
ADHUNIKIND, EQ, 01-Oct-2018, 57.95, 57.50, 61.00, 56.50, 61.00, 60.45, 58.95, 11126, 6.56, 151, 7299, 65.60
ADLABS, EQ, 01-Oct-2018, 17.10, 16.05, 16.90, 15.40, 16.00, 16.15, 16.03, 430156, 68.96, 1723, 235063, 54.65
ADORWELD, EQ, 01-Oct-2018, 297.45, 301.85, 316.95, 282.15, 316.95, 305.80, 292.80, 12390, 36.28, 661, 5702, 46.02
ADROITINFO, BE, 01-Oct-2018, 24.05, 23.55, 25.25, 23.55, 25.25, 24.75, 23.85, 189, 0.05, 7, -, -
ADSL, EQ, 01-Oct-2018, 13.15, 13.90, 13.90, 11.80, 12.45, 12.30, 12.26, 39473, 4.84, 225, 23931, 60.63
ADVANIHOTR, EQ, 01-Oct-2018, 45.35, 45.35, 47.00, 45.00, 45.90, 46.15, 45.52, 7412, 3.37, 102, 5657, 76.32
ADVENZYMES, EQ, 01-Oct-2018, 188.85, 186.50, 189.00, 178.05, 183.00, 182.70, 182.14, 133883, 243.86, 5050, 73398, 54.82
AEGISCHEM, EQ, 01-Oct-2018, 198.70, 203.00, 203.00, 183.30, 191.50, 191.00, 191.27, 181629, 347.41, 8218, 97085, 53.45
AFL, EQ, 01-Oct-2018, 65.40, 64.40, 64.40, 59.00, 63.50, 63.00, 61.84, 32422, 20.05, 322, 21705, 66.95
AGARIND, EQ, 01-Oct-2018, 217.95, 217.70, 229.85, 215.00, 220.20, 222.55, 221.66, 1655, 3.67, 44, 947, 57.22
AGCNET, EQ, 01-Oct-2018, 67.10, 65.65, 74.30, 65.65, 69.00, 68.45, 68.07, 3437, 2.34, 43, 1950, 56.74
AGLSL, EQ, 01-Oct-2018, 71.50, 71.35, 71.35, 66.00, 66.05, 66.45, 66.51, 308, 0.20, 15, 303, 98.38
AGRITECH, EQ, 01-Oct-2018, 63.25, 62.15, 67.60, 53.95, 57.50, 57.60, 58.36, 49080, 28.64, 740, 21787, 44.39
AGROPHOS, SM, 01-Oct-2018, 34.00, 34.70, 34.70, 31.10, 34.00, 34.00, 33.88, 162000, 54.88, 24, 144000, 88.89
AHLADA, ST, 01-Oct-2018, 141.45, 140.00, 140.00, 135.00, , 135.00, 136.51, 64000, 87.37, 63, -, -
AHLEAST, EQ, 01-Oct-2018, 251.35, 250.00, 250.30, 240.00, 240.20, 245.75, 249.41, 4447, 11.09, 51, 4268, 95.97
AHLUCONT, EQ, 01-Oct-2018, 278.10, 274.75, 275.00, 265.05, 266.10, 267.70, 269.86, 58696, 158.40, 414, 56115, 95.60
AHLWEST, EQ, 01-Oct-2018, 290.15, 262.05, 290.00, 261.15, 289.95, 289.60, 278.11, 831, 2.31, 46, 600, 72.20
AIAENG, EQ, 01-Oct-2018, 1778.10, 1751.50, 1769.95, 1714.75, 1720.00, 1739.80, 1737.06, 30960, 537.79, 3630, 18258, 58.97
AICHAMP, BE, 01-Oct-2018, 15.95, 15.20, 15.20, 15.20, 15.20, 15.20, 15.20, 122, 0.02, 4, -, -
AIFL, EQ, 01-Oct-2018, 341.75, 273.40, 273.40, 273.40, 273.40, 273.40, 273.40, 358490, 980.11, 136, 305490, 85.22
AIONJSW, BE, 01-Oct-2018, 34.05, 35.75, 35.75, 35.40, 35.75, 35.75, 35.72, 46369, 16.57, 95, -, -
AIRAN, SM, 01-Oct-2018, 62.25, 59.50, 59.95, 55.00, 55.00, 55.95, 56.97, 57500, 32.76, 23, 47500, 82.61
AIROLAM, SM, 01-Oct-2018, 36.00, 35.90, 36.70, 35.90, 36.70, 36.70, 36.20, 21000, 7.60, 7, 21000, 100.00
AISL, SM, 01-Oct-2018, 75.00, 71.10, 71.10, 71.10, 71.10, 71.10, 71.10, 1200, 0.85, 1, 1200, 100.00
AJANTPHARM, EQ, 01-Oct-2018, 1063.75, 1055.10, 1076.75, 1030.80, 1067.30, 1071.50, 1056.67, 263495, 2784.28, 18606, 44927, 17.05
AJMERA, EQ, 01-Oct-2018, 159.20, 164.00, 164.00, 153.05, 155.95, 157.10, 156.82, 74441, 116.74, 1863, 30769, 41.33
AKG, ST, 01-Oct-2018, 34.00, 33.25, 34.00, 33.25, , 33.60, 33.63, 16000, 5.38, 4, -, -
AKSHARCHEM, EQ, 01-Oct-2018, 474.15, 474.50, 485.00, 450.00, 470.10, 470.80, 464.08, 2700, 12.53, 209, 1924, 71.26
AKSHOPTFBR, EQ, 01-Oct-2018, 24.50, 24.40, 24.65, 23.25, 24.25, 24.05, 23.81, 1370078, 326.27, 3597, 860858, 62.83
AKZOINDIA, EQ, 01-Oct-2018, 1603.35, 1619.35, 1619.35, 1561.55, 1610.00, 1614.85, 1593.92, 4771, 76.05, 700, 2263, 47.43
ALANKIT, EQ, 01-Oct-2018, 19.00, 18.50, 20.50, 18.50, 20.15, 19.90, 19.06, 847809, 161.57, 1506, 140266, 16.54
ALBERTDAVD, EQ, 01-Oct-2018, 557.05, 530.35, 581.40, 529.20, 568.00, 557.20, 539.63, 33399, 180.23, 1231, 13772, 41.23
ALBK, EQ, 01-Oct-2018, 35.50, 35.20, 36.50, 34.05, 36.30, 36.10, 35.08, 4429616, 1553.70, 9811, 497910, 11.24
ALCHEM, BE, 01-Oct-2018, 4.70, 4.65, 4.65, 4.50, 4.50, 4.50, 4.58, 15762, 0.72, 33, -, -
ALEMBICLTD, EQ, 01-Oct-2018, 42.20, 42.35, 43.95, 39.70, 43.30, 43.45, 41.59, 492370, 204.79, 4585, 193155, 39.23
ALICON, EQ, 01-Oct-2018, 654.35, 631.45, 660.00, 605.00, 655.00, 643.20, 627.69, 10865, 68.20, 613, 6382, 58.74
ALKALI, EQ, 01-Oct-2018, 59.20, 59.00, 59.00, 56.40, 56.40, 57.15, 57.34, 10917, 6.26, 135, 9869, 90.40
ALKEM, EQ, 01-Oct-2018, 2054.95, 2030.00, 2075.00, 2021.00, 2055.00, 2064.40, 2054.06, 25359, 520.89, 5417, 13898, 54.81
ALKYLAMINE, EQ, 01-Oct-2018, 574.05, 600.00, 600.00, 561.20, 580.50, 579.70, 578.44, 3994, 23.10, 147, 2173, 54.41
ALLCARGO, EQ, 01-Oct-2018, 102.15, 102.00, 102.10, 97.10, 99.00, 99.90, 99.57, 300011, 298.72, 4904, 231799, 77.26
ALLSEC, EQ, 01-Oct-2018, 251.90, 245.05, 248.00, 232.10, 245.00, 244.90, 240.61, 14615, 35.17, 620, 7190, 49.20
ALMONDZ, BE, 01-Oct-2018, 30.25, 29.00, 29.00, 28.90, 28.90, 28.90, 28.98, 1820, 0.53, 12, -, -
ALOKTEXT, BE, 01-Oct-2018, 3.35, 3.40, 3.45, 3.20, 3.35, 3.30, 3.26, 1759384, 57.37, 1292, -, -
ALPA, EQ, 01-Oct-2018, 27.15, 27.20, 27.80, 25.00, 26.05, 26.20, 26.00, 31133, 8.10, 266, 13793, 44.30
ALPHAGEO, EQ, 01-Oct-2018, 534.70, 531.00, 544.70, 521.35, 534.85, 525.75, 526.51, 18414, 96.95, 600, 16510, 89.66
ALPSINDUS, BE, 01-Oct-2018, 2.95, 3.05, 3.05, 2.85, 3.00, 3.00, 2.94, 4703, 0.14, 18, -, -
AMARAJABAT, EQ, 01-Oct-2018, 739.95, 738.85, 751.95, 716.15, 748.50, 745.30, 731.80, 534034, 3908.08, 18779, 87311, 16.35
AMBANIORG, SM, 01-Oct-2018, 66.10, 66.10, 66.10, 66.10, 66.10, 66.10, 66.10, 2000, 1.32, 1, 2000, 100.00
AMBER, EQ, 01-Oct-2018, 927.30, 918.00, 925.00, 905.00, 913.90, 913.30, 910.69, 8941, 81.42, 944, 5780, 64.65
AMBIKCO, EQ, 01-Oct-2018, 1175.75, 1175.00, 1180.05, 1130.00, 1145.00, 1144.25, 1152.15, 5452, 62.81, 386, 4474, 82.06
AMBUJACEM, EQ, 01-Oct-2018, 223.55, 223.00, 226.90, 216.85, 221.50, 222.70, 222.06, 2070915, 4598.73, 20540, 865959, 41.82
AMDIND, EQ, 01-Oct-2018, 19.80, 20.10, 20.10, 19.15, 19.90, 19.85, 19.58, 7746, 1.52, 57, 7144, 92.23
AMJLAND, EQ, 01-Oct-2018, 21.05, 20.50, 20.50, 19.50, 19.75, 19.85, 19.91, 35211, 7.01, 137, 26452, 75.12
AMRUTANJAN, EQ, 01-Oct-2018, 248.45, 259.00, 259.00, 238.75, 254.00, 249.05, 243.65, 16498, 40.20, 722, 9119, 55.27
AMTEKAUTO, BZ, 01-Oct-2018, 5.80, 5.60, 5.60, 5.55, 5.55, 5.55, 5.55, 7640, 0.42, 48, -, -
ANANTRAJ, EQ, 01-Oct-2018, 37.35, 37.50, 37.50, 35.30, 37.00, 37.15, 36.33, 500469, 181.80, 3519, 207786, 41.52
ANDHRABANK, EQ, 01-Oct-2018, 27.40, 26.75, 27.85, 26.75, 27.40, 27.50, 27.41, 2109686, 578.31, 4532, 580244, 27.50
ANDHRACEMT, EQ, 01-Oct-2018, 6.55, 6.55, 6.80, 6.20, 6.35, 6.30, 6.32, 191165, 12.07, 446, 137861, 72.12
ANDHRSUGAR, EQ, 01-Oct-2018, 332.65, 335.00, 341.35, 315.95, 328.50, 329.40, 327.12, 92143, 301.42, 5105, 34289, 37.21
ANGIND, BE, 01-Oct-2018, 2.50, 2.50, 2.50, 2.50, 2.50, 2.50, 2.50, 50, 0.00, 1, -, -
ANIKINDS, EQ, 01-Oct-2018, 25.95, 25.00, 25.30, 24.70, 24.85, 24.70, 24.78, 1549, 0.38, 35, 1365, 88.12
ANKITMETAL, BE, 01-Oct-2018, 0.50, 0.50, 0.50, 0.50, 0.50, 0.50, 0.50, 1407, 0.01, 9, -, -
ANSALAPI, EQ, 01-Oct-2018, 11.40, 11.05, 11.70, 10.10, 10.25, 10.45, 10.59, 182994, 19.38, 511, 111683, 61.03
ANSALHSG, EQ, 01-Oct-2018, 10.95, 10.70, 10.70, 9.25, 10.15, 10.15, 10.07, 104325, 10.50, 364, 53365, 51.15
ANTGRAPHIC, BE, 01-Oct-2018, 0.55, 0.55, 0.55, 0.50, 0.55, 0.55, 0.51, 19084, 0.10, 19, -, -
APARINDS, EQ, 01-Oct-2018, 591.05, 566.30, 605.50, 561.05, 566.00, 570.80, 569.74, 19210, 109.45, 1217, 11858, 61.73
APCL, EQ, 01-Oct-2018, 126.90, 127.00, 127.00, 120.05, 123.90, 121.50, 122.67, 7848, 9.63, 105, 5646, 71.94
APCOTEXIND, EQ, 01-Oct-2018, 586.00, 583.00, 583.00, 540.00, 557.50, 561.30, 550.92, 11152, 61.44, 715, 6103, 54.73
APEX, EQ, 01-Oct-2018, 376.60, 370.90, 385.00, 357.80, 376.05, 375.85, 364.66, 82552, 301.04, 3089, 41656, 50.46
APLAPOLLO, EQ, 01-Oct-2018, 1266.00, 1255.00, 1283.35, 1211.90, 1269.00, 1268.70, 1245.13, 75187, 936.18, 3345, 61783, 82.17
APLLTD, EQ, 01-Oct-2018, 629.00, 615.00, 643.00, 597.85, 640.00, 635.60, 623.29, 61020, 380.33, 3356, 27860, 45.66
APOLLO, EQ, 01-Oct-2018, 128.70, 132.90, 132.90, 116.00, 120.00, 119.80, 120.66, 37719, 45.51, 1384, 24572, 65.14
APOLLOHOSP, EQ, 01-Oct-2018, 1042.25, 1032.40, 1088.35, 1025.25, 1055.50, 1064.05, 1065.95, 635567, 6774.85, 30461, 256480, 40.35
APOLLOTYRE, EQ, 01-Oct-2018, 212.25, 211.00, 215.40, 202.80, 212.35, 213.10, 208.63, 4267809, 8904.03, 36833, 1293676, 30.31
APOLSINHOT, EQ, 01-Oct-2018, 1180.00, 1178.00, 1178.00, 1111.00, 1111.00, 1113.50, 1123.20, 821, 9.22, 94, 687, 83.68
APTECHT, EQ, 01-Oct-2018, 165.35, 161.00, 165.00, 142.90, 146.00, 149.70, 151.56, 356795, 540.76, 6824, 132271, 37.07
ARCHIDPLY, EQ, 01-Oct-2018, 38.00, 36.65, 40.00, 36.15, 39.50, 39.65, 38.84, 43946, 17.07, 321, 29254, 66.57
ARCHIES, EQ, 01-Oct-2018, 24.40, 25.50, 25.70, 22.10, 25.55, 25.45, 24.12, 76821, 18.53, 396, 58345, 75.95
ARCOTECH, BE, 01-Oct-2018, 10.35, 9.85, 9.85, 9.85, 9.85, 9.85, 9.85, 39420, 3.88, 84, -, -
ARIES, EQ, 01-Oct-2018, 95.15, 96.05, 96.05, 86.30, 92.00, 91.55, 90.32, 54816, 49.51, 1142, 28925, 52.77
ARIHANT, EQ, 01-Oct-2018, 32.95, 36.00, 36.00, 32.00, 33.50, 33.50, 33.37, 95, 0.03, 6, 65, 68.42
ARIHANTSUP, EQ, 01-Oct-2018, 60.25, 60.00, 60.50, 55.70, 57.00, 56.90, 57.97, 25222, 14.62, 361, 8634, 34.23
ARMANFIN, EQ, 01-Oct-2018, 340.15, 320.00, 361.90, 306.15, 344.00, 343.50, 320.32, 7331, 23.48, 318, 4844, 66.08
AROGRANITE, EQ, 01-Oct-2018, 51.10, 52.00, 52.85, 50.00, 50.80, 51.20, 50.86, 8955, 4.55, 121, 6250, 69.79
ARROWGREEN, EQ, 01-Oct-2018, 107.45, 112.65, 112.65, 102.10, 103.05, 102.90, 102.35, 10403, 10.65, 173, 8904, 85.59
ARROWTEX, EQ, 01-Oct-2018, 27.00, 27.00, 27.00, 24.40, 26.50, 26.55, 25.55, 19066, 4.87, 221, 8852, 46.43
ARSHIYA, EQ, 01-Oct-2018, 33.80, 32.15, 37.60, 32.05, 36.80, 33.85, 32.83, 177852, 58.39, 1056, 18037, 10.14
ARSSINFRA, EQ, 01-Oct-2018, 24.90, 23.80, 25.00, 23.70, 23.70, 23.70, 23.97, 5439, 1.30, 64, 4564, 83.91
ARTNIRMAN, SM, 01-Oct-2018, 20.00, 21.90, 21.90, 16.00, 17.00, 17.00, 18.24, 24000, 4.38, 4, 6000, 25.00
ARVIND, EQ, 01-Oct-2018, 317.95, 313.60, 330.10, 307.20, 323.15, 325.20, 321.16, 2833673, 9100.54, 37320, 1007051, 35.54
ARVSMART, EQ, 01-Oct-2018, 120.20, 120.00, 121.95, 112.75, 115.00, 114.95, 115.48, 42014, 48.52, 431, 32775, 78.01
ASAHIINDIA, EQ, 01-Oct-2018, 317.40, 320.00, 320.00, 306.85, 314.00, 315.90, 314.12, 19726, 61.96, 429, 14024, 71.09
ASAHISONG, EQ, 01-Oct-2018, 247.70, 247.00, 255.95, 235.15, 236.00, 242.25, 242.42, 6376, 15.46, 284, 5145, 80.69
ASAL, EQ, 01-Oct-2018, 46.50, 45.80, 49.60, 44.05, 47.35, 47.55, 45.92, 10757, 4.94, 271, 6831, 63.50
ASHAPURMIN, EQ, 01-Oct-2018, 31.60, 31.05, 31.25, 29.55, 31.20, 30.80, 30.33, 116258, 35.26, 528, 83460, 71.79
ASHIANA, EQ, 01-Oct-2018, 126.35, 125.15, 134.50, 118.05, 132.90, 127.75, 123.03, 66092, 81.31, 1310, 42321, 64.03
ASHIMASYN, EQ, 01-Oct-2018, 14.50, 14.25, 17.40, 13.50, 16.50, 16.55, 15.96, 203663, 32.50, 754, 134815, 66.20
ASHOKA, EQ, 01-Oct-2018, 104.35, 106.00, 110.00, 95.00, 108.95, 106.60, 103.34, 233634, 241.43, 4470, 76162, 32.60
ASHOKLEY, EQ, 01-Oct-2018, 119.10, 118.70, 121.05, 112.25, 121.00, 120.15, 117.16, 33157247, 38845.76, 140504, 10125355, 30.54
ASIANHOTNR, EQ, 01-Oct-2018, 197.85, 195.00, 195.00, 178.00, 186.00, 189.30, 185.86, 1340, 2.49, 54, 709, 52.91
ASIANPAINT, EQ, 01-Oct-2018, 1293.30, 1299.00, 1307.90, 1269.00, 1279.00, 1279.80, 1283.76, 1143818, 14683.92, 42550, 554186, 48.45
ASIANTILES, EQ, 01-Oct-2018, 183.65, 181.05, 183.45, 170.00, 177.00, 177.25, 175.18, 101708, 178.18, 2214, 60988, 59.96
ASPINWALL, EQ, 01-Oct-2018, 192.00, 186.50, 204.35, 171.95, 182.00, 184.40, 186.76, 11343, 21.18, 71, 10504, 92.60
ASSAMCO, BE, 01-Oct-2018, 3.25, 3.10, 3.10, 3.10, 3.10, 3.10, 3.10, 54831, 1.70, 51, -, -
ASTEC, EQ, 01-Oct-2018, 522.80, 521.15, 541.95, 510.30, 538.05, 537.75, 523.63, 22885, 119.83, 1627, 15033, 65.69
ASTERDM, EQ, 01-Oct-2018, 155.90, 153.00, 156.70, 149.00, 151.50, 151.40, 152.58, 35392, 54.00, 1543, 15658, 44.24
ASTRAL, EQ, 01-Oct-2018, 984.60, 962.55, 997.90, 932.00, 955.00, 954.70, 960.45, 254280, 2442.23, 15088, 212020, 83.38
ASTRAMICRO, EQ, 01-Oct-2018, 88.55, 88.50, 88.50, 84.35, 86.40, 86.50, 85.80, 172918, 148.36, 1299, 110725, 64.03
ASTRAZEN, EQ, 01-Oct-2018, 1563.85, 1565.05, 1595.15, 1490.10, 1575.00, 1578.35, 1559.33, 36653, 571.54, 2466, 19864, 54.19
ASTRON, EQ, 01-Oct-2018, 120.80, 119.10, 121.00, 116.00, 120.00, 120.10, 119.48, 295442, 353.00, 2548, 139631, 47.26
ATFL, EQ, 01-Oct-2018, 566.30, 568.55, 572.95, 535.55, 547.10, 549.80, 551.91, 15459, 85.32, 913, 12225, 79.08
ATLANTA, EQ, 01-Oct-2018, 27.30, 26.10, 27.00, 25.95, 25.95, 25.95, 26.03, 25807, 6.72, 164, 16685, 64.65
ATLASCYCLE, BZ, 01-Oct-2018, 100.50, 103.50, 103.50, 95.50, 95.50, 95.50, 96.71, 1958, 1.89, 53, -, -
ATUL, EQ, 01-Oct-2018, 3165.45, 3131.00, 3182.45, 3079.00, 3149.00, 3142.10, 3120.76, 109982, 3432.28, 1556, 103439, 94.05
ATULAUTO, EQ, 01-Oct-2018, 333.35, 338.35, 338.35, 316.00, 328.95, 327.45, 324.21, 13583, 44.04, 944, 4548, 33.48
AUBANK, EQ, 01-Oct-2018, 574.30, 560.00, 577.35, 545.00, 556.10, 560.70, 557.58, 1040715, 5802.86, 53370, 761515, 73.17
AURIONPRO, EQ, 01-Oct-2018, 162.65, 155.00, 159.85, 140.00, 158.00, 152.80, 151.55, 27382, 41.50, 448, 18592, 67.90
AUROPHARMA, EQ, 01-Oct-2018, 744.45, 743.90, 774.00, 732.10, 769.65, 769.65, 749.80, 2969135, 22262.55, 64184, 739778, 24.92
AUSOMENT, EQ, 01-Oct-2018, 58.30, 61.45, 64.50, 52.25, 58.50, 60.60, 59.42, 13837, 8.22, 212, 4516, 32.64
AUTOAXLES, EQ, 01-Oct-2018, 1229.70, 1231.00, 1263.75, 1172.25, 1213.80, 1214.90, 1206.85, 26255, 316.86, 2187, 13698, 52.17
AUTOIND, EQ, 01-Oct-2018, 60.30, 62.75, 63.00, 57.25, 57.65, 57.90, 58.17, 41128, 23.92, 339, 24245, 58.95
AUTOLITIND, EQ, 01-Oct-2018, 40.80, 40.35, 41.85, 38.50, 40.35, 40.75, 39.78, 10059, 4.00, 191, 6119, 60.83
AVADHSUGAR, EQ, 01-Oct-2018, 408.00, 385.00, 419.90, 372.50, 405.00, 400.85, 391.21, 143201, 560.22, 5775, 26404, 18.44
AVANTIFEED, EQ, 01-Oct-2018, 387.05, 388.70, 388.70, 357.10, 368.95, 369.45, 366.76, 519323, 1904.66, 18536, 192092, 36.99
AVG, SM, 01-Oct-2018, 82.00, 78.00, 78.00, 77.70, 77.70, 77.70, 77.85, 2400, 1.87, 2, 2400, 100.00
AVTNPL, EQ, 01-Oct-2018, 26.90, 27.25, 27.50, 26.00, 26.75, 26.85, 26.53, 87536, 23.22, 321, 75636, 86.41
AXISBANK, EQ, 01-Oct-2018, 613.25, 615.10, 617.50, 572.50, 592.75, 593.45, 591.59, 20117451, 119013.48, 193226, 9656902, 48.00
AXISCADES, EQ, 01-Oct-2018, 78.80, 80.50, 80.50, 66.95, 70.10, 70.85, 70.85, 158291, 112.15, 2525, 76059, 48.05
AXISGOLD, EQ, 01-Oct-2018, 2677.10, 2677.15, 2716.00, 2669.20, 2711.00, 2711.00, 2703.53, 59, 1.60, 22, 39, 66.10
AXISNIFTY, EQ, 01-Oct-2018, 1110.00, 1110.76, 1113.06, 1104.20, 1113.06, 1113.06, 1108.07, 101, 1.12, 6, 91, 90.10
AYMSYNTEX, EQ, 01-Oct-2018, 34.35, 34.50, 35.00, 31.45, 33.50, 34.80, 32.90, 42796, 14.08, 225, 27924, 65.25
BAFNAPHARM, EQ, 01-Oct-2018, 12.30, 12.20, 12.20, 10.45, 11.35, 11.45, 11.28, 36333, 4.10, 147, 18148, 49.95
BAGFILMS, BE, 01-Oct-2018, 4.75, 4.75, 4.75, 4.55, 4.55, 4.55, 4.55, 47675, 2.17, 129, -, -
BAJAJ-AUTO, EQ, 01-Oct-2018, 2687.45, 2687.00, 2745.00, 2619.60, 2735.00, 2730.10, 2693.67, 610220, 16437.29, 46624, 208598, 34.18
BAJAJCORP, EQ, 01-Oct-2018, 412.20, 414.70, 416.45, 375.10, 396.00, 395.05, 395.28, 90829, 359.03, 2710, 71895, 79.15
BAJAJELEC, EQ, 01-Oct-2018, 502.55, 502.55, 511.85, 482.15, 508.00, 500.50, 493.49, 368140, 1816.72, 18775, 191880, 52.12
BAJAJFINSV, EQ, 01-Oct-2018, 6006.20, 6000.00, 6040.00, 5771.00, 5909.00, 5881.85, 5868.44, 276252, 16211.69, 29560, 95135, 34.44
BAJAJHIND, EQ, 01-Oct-2018, 8.30, 8.15, 8.25, 7.55, 7.95, 7.95, 7.88, 5868302, 462.64, 7105, 1994045, 33.98
BAJAJHLDNG, EQ, 01-Oct-2018, 3093.55, 3084.00, 3084.00, 2949.30, 2975.00, 2964.10, 2983.36, 10454, 311.88, 1618, 5935, 56.77
BAJFINANCE, EQ, 01-Oct-2018, 2168.00, 2168.00, 2233.35, 2052.20, 2218.00, 2208.50, 2130.49, 4821772, 102727.17, 156061, 1248652, 25.90
BALAJITELE, EQ, 01-Oct-2018, 105.70, 105.70, 107.95, 101.75, 106.80, 106.25, 105.46, 86453, 91.17, 1285, 45551, 52.69
BALAMINES, EQ, 01-Oct-2018, 469.00, 460.00, 469.00, 435.00, 462.95, 463.70, 451.59, 15943, 72.00, 957, 10326, 64.77
BALKRISHNA, EQ, 01-Oct-2018, 50.15, 48.10, 51.00, 45.60, 50.45, 50.10, 47.54, 33627, 15.99, 386, 13726, 40.82
BALKRISIND, EQ, 01-Oct-2018, 1018.55, 1016.50, 1092.85, 946.35, 1080.00, 1084.35, 1012.72, 1672303, 16935.80, 63795, 597086, 35.70
BALLARPUR, EQ, 01-Oct-2018, 7.00, 7.00, 7.05, 6.15, 6.80, 6.75, 6.57, 891315, 58.58, 1312, 504643, 56.62
