SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ICSA, BE, 01-Oct-2018, 1.25, 1.25, 1.30, 1.25, 1.25, 1.25, 1.28, 9840, 0.13, 14, -, -
IDBI, EQ, 01-Oct-2018, 50.20, 50.60, 54.55, 48.50, 54.50, 54.10, 51.95, 14619850, 7594.44, 27693, 1827291, 12.50
IDBIGOLD, EQ, 01-Oct-2018, 2860.00, 2860.00, 2860.00, 2840.00, 2847.00, 2847.00, 2846.31, 86, 2.45, 8, 81, 94.19
IDEA, EQ, 01-Oct-2018, 38.55, 38.75, 39.05, 37.45, 38.75, 38.75, 38.25, 18758793, 7175.61, 33677, 5905833, 31.48
IDFC, EQ, 01-Oct-2018, 39.75, 39.50, 41.20, 38.35, 40.60, 40.75, 39.82, 4180343, 1664.59, 8144, 1006353, 24.07
IDFCBANK, EQ, 01-Oct-2018, 36.30, 36.30, 37.50, 35.20, 37.20, 37.35, 36.26, 12190274, 4419.95, 21496, 2584115, 21.20
IDFCBANK, N1, 01-Oct-2018, 5085.00, 5085.00, 5085.00, 5085.00, 5085.00, 5085.00, 5085.00, 4, 0.20, 1, 4, 100.00
IDFCBANK, N2, 01-Oct-2018, 8680.00, 8679.00, 8680.00, 8660.00, 8680.00, 8680.00, 8675.57, 23, 2.00, 6, 23, 100.00
IDFCBANK, N4, 01-Oct-2018, 8230.00, 8250.00, 8250.00, 8200.00, 8200.00, 8200.00, 8225.00, 8, 0.66, 2, 8, 100.00
IDFCBANK, N5, 01-Oct-2018, 4900.00, 4900.00, 4900.00, 4880.50, 4880.50, 4880.50, 4887.00, 6, 0.29, 3, 6, 100.00
IDFCBANK, N6, 01-Oct-2018, 8470.00, 8325.00, 8450.00, 8325.00, 8450.00, 8450.00, 8369.67, 14, 1.17, 9, 7, 50.00
IDFCBANK, N7, 01-Oct-2018, 4900.00, 4900.00, 4900.00, 4900.00, 4900.00, 4900.00, 4900.00, 8, 0.39, 2, 8, 100.00
IDFCBANK, N8, 01-Oct-2018, 8450.00, 8255.01, 8400.00, 8255.01, 8400.00, 8400.00, 8327.51, 8, 0.67, 2, 4, 50.00
IDFCBANK, N9, 01-Oct-2018, 5085.00, 5001.06, 5040.05, 5001.06, 5040.05, 5040.05, 5020.56, 8, 0.40, 4, 4, 50.00
IDFCBANK, NA, 01-Oct-2018, 8371.00, 8371.00, 8400.00, 8310.00, 8400.00, 8400.00, 8363.38, 13, 1.09, 7, 9, 69.23
IDFCBANK, NB, 01-Oct-2018, 5040.00, 5040.00, 5040.00, 5040.00, 5040.00, 5040.00, 5040.00, 10, 0.50, 3, 10, 100.00
IDFCBANK, NC, 01-Oct-2018, 8175.00, 8151.00, 8175.00, 8151.00, 8175.00, 8175.00, 8164.89, 19, 1.55, 7, 19, 100.00
IDFNIFTYET, EQ, 01-Oct-2018, 110.00, 112.05, 112.08, 109.26, 109.26, 109.26, 110.47, 89, 0.10, 6, 50, 56.18
IEX, EQ, 01-Oct-2018, 1606.70, 1606.70, 1660.00, 1597.15, 1611.00, 1609.20, 1611.15, 133840, 2156.36, 2767, 128821, 96.25
IFBAGRO, EQ, 01-Oct-2018, 550.15, 550.00, 565.00, 526.00, 547.95, 543.80, 534.30, 4084, 21.82, 144, 3299, 80.78
IFBIND, EQ, 01-Oct-2018, 1044.55, 1030.85, 1030.85, 975.00, 992.00, 1003.55, 1000.51, 8168, 81.72, 813, 4538, 55.56
IFCI, EQ, 01-Oct-2018, 11.90, 12.00, 12.55, 11.50, 12.35, 12.40, 12.06, 8561722, 1032.91, 6748, 1893232, 22.11
IFCI, NE, 01-Oct-2018, 1005.00, 980.00, 1006.75, 980.00, 1006.75, 1006.75, 982.87, 224, 2.20, 3, 224, 100.00
IFCI, NH, 01-Oct-2018, 1058.00, 1055.05, 1062.00, 1055.05, 1062.00, 1059.29, 1060.05, 891, 9.45, 18, 831, 93.27
IFCI, NI, 01-Oct-2018, 1395.00, 1325.00, 1350.00, 1325.00, 1350.00, 1350.00, 1337.50, 400, 5.35, 4, 400, 100.00
IFCI, NJ, 01-Oct-2018, 1010.00, 1003.00, 1030.00, 1000.00, 1030.00, 1029.95, 1012.06, 80, 0.81, 10, 52, 65.00
IFCI, NL, 01-Oct-2018, 1051.28, 1004.00, 1012.50, 1003.00, 1004.00, 1004.00, 1004.54, 200, 2.01, 6, 200, 100.00
IFGLEXPOR, EQ, 01-Oct-2018, 247.35, 244.00, 244.00, 227.00, 232.00, 229.35, 235.21, 7696, 18.10, 939, 5685, 73.87
